Snapshot,Index,Hotel Name,TTT,LOS,Grade,Num of Reviews,Curr Price,Original Price,Percentage of discount,Distance from center,Type of room,Location grade,Is refundable,Late payment,Breakfast included,Option Member
2023-03-06 17:53:54.599215,105,Paramount Times Square,1,1,7.2,"(1,054 reviews)",The price is €141,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.602523,106,SoHo 54 Hotel,1,1,7.0,(973 reviews),The price is €207,,0,0,0,0,False,False,,True
2023-03-06 17:53:54.607270,107,"voco Times Square South, an IHG Hotel",1,1,8.4,(408 reviews),The price is €220,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.610446,108,The Bryant Park Hotel,1,1,9.0,"(1,005 reviews)",The price is €390,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.614583,109,"EVEN Hotel Times Square South, an IHG Hotel",1,1,9.0,"(1,006 reviews)",The price is €261,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.614583,110,Artezen Hotel,1,1,9.4,"(1,368 reviews)",The price is €395,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.618579,111,Sheraton Tribeca New York Hotel,1,1,8.2,"(1,014 reviews)",The price is €401,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.625392,112,Pod 39,1,1,8.4,"(1,014 reviews)",The price is €207,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.629518,113,"Holiday Inn New York City - Times Square, an IHG Hotel",1,1,7.8,"(1,124 reviews)",The price is €220,,0,0,0,0,False,False,,False
2023-03-06 17:53:54.629518,114,The Lombardy Hotel,1,1,8.8,"(1,003 reviews)",The price is €360,The price was €423,0,0,0,0,True,False,,True
2023-03-06 17:53:54.633517,115,New York Hilton Midtown,1,1,8.0,"(1,014 reviews)","The price is €1,606",,0,0,0,0,False,False,,False
2023-03-06 17:53:54.641875,116,The Wallace,1,1,9.6,(434 reviews),The price is €322,,0,0,0,0,True,False,,False
2023-03-06 17:53:54.642920,117,Doubletree by Hilton New York Times Square South,1,1,8.4,"(2,096 reviews)",The price is €229,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.647059,118,HGU New York,1,1,8.0,"(1,010 reviews)",The price is €268,,0,0,0,0,True,False,,True
2023-03-06 17:53:54.651059,119,Royalton New York,1,1,8.0,"(1,008 reviews)",The price is €353,,0,0,0,0,False,False,,True
2023-03-06 17:54:31.224612,0,Hotel 32 32,1,2,8.0,"(1,296 reviews)",The price is €586,The price was €761,0,0,0,0,False,False,,False
2023-03-06 17:54:31.243141,1,Hyatt House Jersey City,1,2,8.4,"(1,009 reviews)",The price is €493,The price was €548,0,0,0,0,False,False,Breakfast included,False
2023-03-06 17:54:31.251198,2,Sonesta Simply Suites Jersey City,1,2,8.4,"(1,002 reviews)",The price is €382,The price was €424,0,0,0,0,True,False,,False
2023-03-06 17:54:31.259925,3,Arlo Midtown,1,2,9.2,"(3,123 reviews)",The price is €656,,0,0,0,0,True,False,,True
2023-03-06 17:54:31.269168,4,"PUBLIC, an Ian Schrager hotel",1,2,8.0,"(1,465 reviews)",The price is €868,,0,0,0,0,False,False,,True
2023-03-06 17:54:31.274950,5,Hard Rock Hotel New York,1,2,9.2,(716 reviews),"The price is €1,004",,0,0,0,0,False,False,,True
2023-03-06 17:54:31.294979,6,Hotel Edison Times Square,1,2,7.8,"(2,758 reviews)",The price is €522,,0,0,0,0,True,False,Breakfast included,True
2023-03-06 17:54:31.299791,7,YOTEL New York Times Square,1,2,7.0,"(1,889 reviews)",The price is €383,The price was €416,0,0,0,0,False,False,,True
2023-03-06 17:54:31.310775,8,Park Lane New York,1,2,8.8,(305 reviews),The price is €986,"The price was €1,083",0,0,0,0,False,False,,False
2023-03-06 17:54:31.322247,9,New York Marriott Marquis,1,2,9.0,"(1,543 reviews)","The price is €1,075",,0,0,0,0,False,False,,False
2023-03-06 17:54:31.330360,10,Millennium Hotel Broadway Times Square,1,2,7.0,"(6,075 reviews)",The price is €450,The price was €492,0,0,0,0,True,False,,True
2023-03-06 17:54:31.334359,11,Sheraton New York Times Square Hotel,1,2,8.0,"(1,219 reviews)","The price is €1,097",,0,0,0,0,False,False,,False
2023-03-06 17:54:31.345997,12,Margaritaville Resort Times Square,1,2,9.0,"(1,679 reviews)",The price is €643,,0,0,0,0,False,False,Pool,False
2023-03-06 17:54:31.350000,13,Loews Regency New York Hotel,1,2,8.8,"(1,000 reviews)","The price is €1,742",,0,0,0,0,False,False,,False
2023-03-06 17:54:31.362266,14,The Manhattan at Times Square Hotel,1,2,5.6,"(2,651 reviews)",The price is €270,The price was €317,0,0,0,0,False,False,,True
2023-03-06 17:54:31.373955,15,Hyatt Grand Central New York,1,2,7.8,"(1,680 reviews)",The price is €739,The price was €835,0,0,0,0,False,False,,True
2023-03-06 17:54:31.379282,16,M Social Hotel Times Square New York,1,2,8.8,"(2,832 reviews)",The price is €673,The price was €738,0,0,0,0,True,False,,True
2023-03-06 17:54:31.387282,17,Park Central Hotel New York,1,2,8.0,"(1,908 reviews)",The price is €553,The price was €604,0,0,0,0,False,False,,True
2023-03-06 17:54:31.392580,18,Equinox Hotel New York,1,2,9.0,(307 reviews),"The price is €2,219",,0,0,0,0,True,False,Pool,True
2023-03-06 17:54:31.400639,19,"InterContinental New York Times Square, an IHG Hotel",1,2,8.2,"(1,055 reviews)",The price is €817,,0,0,0,0,False,False,,False
2023-03-06 17:54:31.409918,20,"The Langham, New York, Fifth Avenue",1,2,9.4,"(1,004 reviews)","The price is €2,368",,0,0,0,0,True,False,,False
2023-03-06 17:54:31.422059,21,The New Yorker A Wyndham Hotel,1,2,8.0,"(2,598 reviews)",The price is €486,,0,0,0,0,False,False,,False
2023-03-06 17:54:31.436919,22,The Westin New York Grand Central,1,2,8.6,"(1,191 reviews)","The price is €1,045","The price was €2,058",0,0,0,0,False,False,,True
2023-03-06 17:54:31.444928,23,Soho Grand Hotel,1,2,8.8,"(1,009 reviews)",The price is €910,"The price was €1,119",0,0,0,0,False,False,,False
2023-03-06 17:54:31.457203,24,Empire Hotel,1,2,7.4,"(1,311 reviews)",The price is €479,,0,0,0,0,False,False,Pool,True
2023-03-06 17:54:31.463805,25,Pod Times Square,1,2,8.6,"(2,815 reviews)",The price is €371,,0,0,0,0,True,False,,True
2023-03-06 17:54:31.474599,26,NoMo SoHo,1,2,8.0,"(1,010 reviews)",The price is €602,,0,0,0,0,False,False,,True
2023-03-06 17:54:31.479670,27,"Moxy NYC Times Square, a Marriott Hotel",1,2,8.4,"(1,085 reviews)",The price is €816,,0,0,0,0,False,False,,False
2023-03-06 17:54:31.485355,28,The Standard High Line,1,2,8.4,(758 reviews),The price is €762,The price was €884,0,0,0,0,False,False,,True
2023-03-06 17:54:31.495523,29,Moxy Brooklyn Willamsburg,1,2,,,The price is €483,,0,0,0,0,False,True,,False
2023-03-06 17:54:31.501052,30,The MUSE New York,1,2,8.8,"(1,007 reviews)",The price is €923,,0,0,0,0,False,False,,True
2023-03-06 17:54:31.512540,31,Park Lane New York,1,2,8.8,(305 reviews),The price is €986,"The price was €1,083",0,0,0,0,False,False,,False
2023-03-06 17:54:31.516539,32,Millennium Downtown New York,1,2,7.4,"(2,520 reviews)",The price is €585,The price was €641,0,0,0,0,True,False,,True
2023-03-06 17:54:31.525160,33,"Hotel Indigo Lower East Side New York, an IHG Hotel",1,2,8.0,"(1,003 reviews)",The price is €615,,0,0,0,0,False,False,Pool,False
2023-03-06 17:54:31.534522,34,The Times Square EDITION,1,2,9.0,(572 reviews),"The price is €1,377",,0,0,0,0,False,False,,False
2023-03-06 17:54:31.542249,35,The Knickerbocker Hotel,1,2,8.8,"(1,007 reviews)","The price is €1,026","The price was €1,129",0,0,0,0,False,False,,False
2023-03-06 17:54:31.547778,36,"InterContinental New York Barclay, an IHG Hotel",1,2,8.6,"(1,011 reviews)","The price is €1,088",,0,0,0,0,False,False,,False
2023-03-06 17:54:31.555372,37,RIU Plaza Manhattan Times Square,1,2,8.8,"(1,854 reviews)",The price is €543,,0,0,0,0,False,False,,False
2023-03-06 17:54:31.563436,38,INNSiDE by Meliá New York Nomad,1,2,8.8,"(1,349 reviews)",The price is €592,,0,0,0,0,False,False,,True
2023-03-06 17:54:31.575114,39,Arlo NoMad,1,2,8.0,"(1,607 reviews)",The price is €547,The price was €602,0,0,0,0,True,False,,True
2023-03-06 17:54:31.584525,40,The Belvedere Hotel,1,2,8.6,"(2,270 reviews)",The price is €353,,0,0,0,0,True,False,,True
2023-03-06 17:54:31.595895,41,Ace Hotel New York,1,2,8.2,"(1,008 reviews)",The price is €749,,0,0,0,0,True,False,,False
2023-03-06 17:54:31.601094,42,"Mandarin Oriental, New York",1,2,9.2,(450 reviews),"The price is €2,084",,0,0,0,0,True,False,Pool,False
2023-03-06 17:54:31.610019,43,Roxy Hotel New York,1,2,9.0,"(1,014 reviews)",The price is €847,,0,0,0,0,False,False,,True
2023-03-06 17:54:31.615070,44,citizenM New York Bowery,1,2,9.2,"(1,296 reviews)",The price is €479,,0,0,0,0,True,False,,False
2023-03-06 17:54:31.625134,45,Dream Downtown,1,2,7.2,"(1,010 reviews)",The price is €389,The price was €422,0,0,0,0,True,False,Pool,False
2023-03-06 17:54:31.633295,46,Arlo SoHo,1,2,8.2,"(1,315 reviews)",The price is €753,The price was €831,0,0,0,0,True,False,,True
2023-03-06 17:54:31.640795,47,"The Carlyle, A Rosewood Hotel",1,2,9.2,(680 reviews),"The price is €1,706","The price was €1,895",0,0,0,0,True,False,,False
2023-03-06 17:54:31.645875,48,33 Seaport Hotel New York,1,2,8.8,(300 reviews),The price is €748,The price was €985,0,0,0,0,False,False,,True
2023-03-06 17:54:31.657738,49,"Moxy NYC Chelsea, a Marriott Hotel",1,2,8.6,(977 reviews),The price is €730,,0,0,0,0,False,False,,False
2023-03-06 17:54:31.665989,50,Park Terrace Hotel,1,2,9.2,"(1,009 reviews)",The price is €738,,0,0,0,0,True,False,,False
2023-03-06 17:54:31.673947,51,Hotel 32 32,1,2,8.0,"(1,296 reviews)",The price is €586,The price was €761,0,0,0,0,False,False,,False
2023-03-06 17:54:31.682396,52,LUMA Hotel Times Square,1,2,9.4,"(1,013 reviews)",The price is €827,,0,0,0,0,False,False,,True
2023-03-06 17:54:31.691449,53,Dream Midtown,1,2,8.0,"(1,010 reviews)",The price is €466,The price was €554,0,0,0,0,True,False,,False
2023-03-06 17:54:31.699522,54,Trump International Hotel & Tower New York,1,2,9.2,"(1,003 reviews)","The price is €1,411",,0,0,0,0,True,False,Pool,True
2023-03-06 17:54:31.707103,55,"The Ritz-Carlton New York, Central Park",1,2,9.0,(405 reviews),"The price is €1,938",,0,0,0,0,False,False,,False
2023-03-06 17:54:31.715987,56,Warwick New York,1,2,8.0,"(1,209 reviews)",The price is €659,The price was €690,0,0,0,0,False,False,,True
2023-03-06 17:54:31.724943,57,Hyatt Centric Times Square New York,1,2,9.0,"(1,023 reviews)",The price is €841,,0,0,0,0,False,False,,False
2023-03-06 17:54:31.733107,58,"Moxy NYC East Village, a Marriott Hotel",1,2,8.8,(896 reviews),The price is €697,,0,0,0,0,False,False,,False
2023-03-06 17:54:31.740574,59,Conrad New York Midtown,1,2,8.4,"(1,001 reviews)","The price is €1,281",,0,0,0,0,False,False,,False
2023-03-06 17:54:31.750650,60,The Gallivant Times Square,1,2,6.6,"(1,773 reviews)",The price is €250,The price was €296,0,0,0,0,True,False,,False
