Breakfast included_booking,Cancel Later_booking,Discount_booking,Discount_expedia,Distance from center_booking,Extras included_expedia,Free Cancellation_booking,Friday,Grade_booking,Grade_expedia,Index_booking,Index_expedia,Is refundable_expedia,LOS,Late payment_expedia,Location grade_booking,Monday,Late payment_booking,Num of Reviews_booking,Num of Reviews_expedia,Option Member_expedia,TTT,Wednesday,Diff_B-E
0,1,0,1,6900,0,1,0,8.6,8.8,4,8,1,4,0,0,0,0,282,301.0,1,28,1,-512.1000000000001
0,1,0,0,6900,0,1,0,8.6,8.8,5,8,0,1,0,0,0,1,282,301.0,1,29,1,-177.55
0,1,0,0,6900,0,1,0,8.6,8.8,6,9,0,2,0,0,0,0,282,301.0,1,29,1,-329.6500000000001
0,1,0,1,6900,0,1,0,8.6,8.8,6,9,1,3,0,0,0,0,282,301.0,1,29,1,-415.68000000000006
0,1,0,1,6900,0,1,0,8.6,8.8,6,9,1,4,0,0,0,0,282,301.0,1,29,1,-535.56
0,1,0,1,6900,0,1,0,8.6,8.8,5,9,1,5,0,0,0,0,282,301.0,1,29,1,-491.9099999999999
0,1,0,0,6900,0,1,0,8.6,8.8,4,8,0,1,0,0,0,0,282,301.0,1,30,1,-162.75
0,1,0,0,6900,0,1,0,8.6,8.8,4,29,0,2,0,0,0,0,282,301.0,1,30,1,-351.22000000000014
0,1,0,1,6900,0,1,0,8.6,8.8,6,8,1,3,0,0,0,0,282,301.0,1,30,1,-405.47
0,1,0,1,6900,0,1,0,8.6,8.8,6,9,1,4,0,0,0,0,282,301.0,1,30,1,-514.69
0,1,0,1,6900,0,1,0,8.6,8.8,4,9,1,5,0,0,0,0,282,301.0,1,30,1,-469.8299999999999
0,0,0,0,7200,0,0,0,8.5,9.0,89,2,0,1,0,0,1,0,1616,947.0,0,11,0,-45.06999999999999
0,0,0,0,7200,0,0,0,8.5,9.0,77,2,0,2,0,0,1,0,1616,947.0,0,11,0,-92.76
